iter	Passed	Remaining
798	1824	458
799	1826	456
800	1827	454
801	1829	451
802	1830	449
803	1832	446
804	1833	444
805	1835	441
806	1837	439
807	1839	437
808	1840	434
809	1842	432
810	1844	429
811	1845	427
812	1847	424
813	1848	422
814	1850	420
815	1852	417
816	1855	415
817	1857	413
818	1859	411
819	1861	408
820	1863	406
821	1864	403
822	1865	401
823	1867	398
824	1868	396
825	1870	393
826	1871	391
827	1873	389
828	1874	386
829	1876	384
830	1878	382
831	1880	379
832	1881	377
833	1883	374
834	1884	372
835	1886	370
836	1889	367
837	1890	365
838	1892	363
839	1894	360
840	1896	358
841	1898	356
842	1900	353
843	1902	351
844	1904	349
845	1906	346
846	1907	344
847	1910	342
848	1912	340
849	1913	337
850	1916	335
851	1918	333
852	1921	331
853	1923	328
854	1925	326
855	1929	324
856	1931	322
857	1935	320
858	1937	317
859	1939	315
860	1941	313
861	1943	311
862	1945	308
863	1947	306
864	1949	304
865	1952	302
866	1953	299
867	1956	297
868	1958	295
869	1960	292
870	1962	290
871	1963	288
872	1965	285
873	1967	283
874	1969	281
875	1972	279
876	1974	276
877	1976	274
878	1978	272
879	1980	270
880	1982	267
881	1984	265
882	1986	263
883	1987	260
884	1989	258
885	1991	256
886	1993	253
887	1995	251
888	1996	249
889	1998	247
890	2000	244
891	2001	242
892	2003	240
893	2005	237
894	2007	235
895	2008	233
896	2010	230
897	2012	228
898	2014	226
899	2015	223
900	2017	221
901	2019	219
902	2020	217
903	2022	214
904	2024	212
905	2026	210
906	2028	207
907	2030	205
908	2031	203
909	2033	201
910	2035	198
911	2037	196
912	2038	194
913	2040	191
914	2042	189
915	2043	187
916	2045	185
917	2047	182
918	2049	180
919	2051	178
920	2053	176
921	2054	173
922	2057	171
923	2059	169
924	2061	167
925	2063	164
926	2065	162
927	2068	160
928	2070	158
929	2074	156
930	2077	153
931	2081	151
932	2084	149
933	2088	147
934	2091	145
935	2093	143
936	2095	140
937	2099	138
938	2102	136
939	2103	134
940	2105	132
941	2108	129
942	2109	127
943	2111	125
944	2115	123
945	2117	120
946	2120	118
947	2122	116
948	2124	114
949	2126	111
950	2128	109
951	2131	107
952	2132	105
953	2134	102
954	2136	100
955	2138	98
956	2139	96
957	2141	93
958	2143	91
959	2145	89
960	2146	87
961	2148	84
962	2150	82
963	2152	80
964	2154	78
965	2155	75
966	2158	73
967	2160	71
968	2161	69
969	2163	66
970	2166	64
971	2167	62
972	2169	60
973	2171	57
974	2173	55
975	2174	53
976	2176	51
977	2178	49
978	2180	46
979	2182	44
980	2184	42
981	2186	40
982	2188	37
983	2189	35
984	2191	33
985	2193	31
986	2195	28
987	2196	26
988	2199	24
989	2201	22
990	2203	20
991	2205	17
992	2206	15
993	2207	13
994	2210	11
995	2212	8
996	2214	6
997	2216	4
998	2218	2
999	2221	0
